Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04016249465942383
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.0407250862121582
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03982377624511719
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.039446529388427735
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04008220672607422
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03974035263061523
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.041008094787597656
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03966041564941406
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03979148864746094
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.03994240188598633
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.04000643157958984
(64, 64, 64, 64, 128);(54, 52, 13, 58);(54, 52, 13, 58);0.040543743133544925
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04120419311523438
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04115171051025391
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04134259033203125
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.041165569305419925
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04092454528808594
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.040997665405273435
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.041021503448486325
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04105366516113281
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.0404167366027832
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.040895038604736325
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04045014572143555
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04057987213134766
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.041121726989746095
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.040862751007080075
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.041581920623779293
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.040863006591796876
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04120003128051758
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04126182556152344
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.041363006591796876
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04122713470458984
(64, 64, 64, 64, 256);(47, 51, 31, 56);(47, 51, 31, 56);0.04132454299926758
