matrix_shape,method,rank_strategy,error_mean,error_std,time_mean,time_std,rank_mean,rank_std,matrix_type
32x32,identity_copies,fixed_rank,0.00016103522139019333,3.392762928425157e-05,0.0022459248997620308,0.00031136860420269565,32.0,0.0,square
64x64,identity_copies,fixed_rank,0.0019619100785348564,0.0002917165396840675,0.008680489049584138,0.0005146736068917375,64.0,0.0,square
128x128,identity_copies,fixed_rank,0.00434047031449154,0.00043374554782690307,0.016778352400251606,0.0005123275972984715,128.0,0.0,square
256x256,identity_copies,fixed_rank,0.008842085651122034,0.002556191891919861,0.039020188150061585,0.0011092032043989693,256.0,0.0,square
512x512,identity_copies,fixed_rank,0.020259716222062706,0.009200835037828323,0.11206023655013268,0.007022187672390062,512.0,0.0,square
1024x1024,identity_copies,fixed_rank,0.03603986613452435,0.004048164676772345,0.3299267730999418,0.016448037611674866,1024.0,0.0,square
256x16,normal,full_rank,0.00016936491228989326,2.5351480494612253e-05,0.004306252149763168,0.00036611925617700987,16.0,0.0,rectangular
256x32,normal,full_rank,0.00038612682255916296,4.3797847516343476e-05,0.006853646900162857,0.0006412905978394845,32.0,0.0,rectangular
256x64,normal,full_rank,0.0011542386782821268,9.474177551065555e-05,0.009884360649630252,0.0007174891446679205,64.0,0.0,rectangular
256x128,normal,full_rank,0.0038477580179460346,0.00024078609081345614,0.015336073949765706,0.0006311433846975936,128.0,0.0,rectangular
256x256,normal,full_rank,0.015560765750706196,0.0005367472642114726,0.026443863149870593,0.000760046481006434,256.0,0.0,square
256x512,normal,full_rank,0.01930964654311538,0.00035007520443254423,0.030890438499773153,0.001069244671666914,256.0,0.0,rectangular
256x1024,normal,full_rank,0.030975412763655185,0.0005946089883666516,0.03773364180033241,0.0007878165299277961,256.0,0.0,rectangular
256x16,normal,half_rank,0.00029392056749202313,7.670775410247745e-05,0.003266871249979886,0.0005155695063406372,16.0,0.0,rectangular
256x32,normal,half_rank,0.00095385299064219,0.00016195757986183298,0.005649966749660962,0.0008804265155524053,32.0,0.0,rectangular
256x64,normal,half_rank,0.003604860312771052,0.0005242656449892764,0.009042104300351638,0.0005913527225397973,64.0,0.0,rectangular
256x128,normal,half_rank,0.012382405949756503,0.0007460983919084081,0.01522306149963697,0.0009857968030446264,128.0,0.0,rectangular
256x256,normal,half_rank,0.06756516229361295,0.007011672808364977,0.04562798695078527,0.004210773004433369,256.0,0.0,square
256x512,normal,half_rank,0.08379792049527168,0.003538512855803922,0.033681688700380616,0.0022492853409560856,256.0,0.0,rectangular
256x1024,normal,half_rank,0.12024709023535252,0.007499345256392699,0.042445162200237974,0.0014605390935341664,256.0,0.0,rectangular
256x16,normal,fixed_rank,0.00016446159679617267,2.5153578076492912e-05,0.006007961649993376,0.0006295740761854557,16.0,0.0,rectangular
256x32,normal,fixed_rank,0.00039074864907888695,3.984854700150113e-05,0.006494413100153906,0.0005713448423577364,32.0,0.0,rectangular
256x64,normal,fixed_rank,0.0034084618557244538,0.0004907576524168671,0.009147806500004662,0.0005980179480972172,64.0,0.0,rectangular
256x128,normal,fixed_rank,0.005234725575428456,0.0008104018959484586,0.013565478550117405,0.0007055474832448915,128.0,0.0,rectangular
256x256,normal,fixed_rank,0.009226771537214518,0.001976588029159825,0.03726759594974283,0.0018518349538165179,256.0,0.0,square
256x512,normal,fixed_rank,0.01156252957880497,0.0035853686668381813,0.025638066249848636,0.00295930680384106,256.0,0.0,rectangular
256x1024,normal,fixed_rank,0.014543715072795749,0.0017756084239963553,0.02902875494928594,0.0019511821528045315,256.0,0.0,rectangular
256x16,ortho,full_rank,0.00017023089712893126,2.4954945386278937e-05,0.007286345700413222,0.0005633667915819279,16.0,0.0,rectangular
256x32,ortho,full_rank,0.00039038034883560614,4.594800105653159e-05,0.008531277899783163,0.0010650118646662384,32.0,0.0,rectangular
256x64,ortho,full_rank,0.0011327649001032114,5.888785368566331e-05,0.011403904399594466,0.0006432689642190106,64.0,0.0,rectangular
256x128,ortho,full_rank,0.00368756006937474,0.0001645832898245273,0.018740821850224167,0.002166477463007879,128.0,0.0,rectangular
256x256,ortho,full_rank,0.015553814265877009,0.00032630754097040136,0.033510160599871594,0.003949875997411863,256.0,0.0,square
256x512,ortho,full_rank,0.01954993763938546,0.00031800672618310314,0.03983689270044124,0.0008848089211158368,256.0,0.0,rectangular
256x1024,ortho,full_rank,0.03095257906243205,0.0006586187819536837,0.060043562699866014,0.000997063943402338,256.0,0.0,rectangular
256x16,ortho,half_rank,0.0003151746146613732,9.629947140320977e-05,0.005290694650284422,0.0009821952160394224,16.0,0.0,rectangular
256x32,ortho,half_rank,0.0009610549197532237,0.00020769892393791855,0.007273232749685121,0.0004768684760688665,32.0,0.0,rectangular
256x64,ortho,half_rank,0.003501593426335603,0.0007709338867927829,0.011935710800571542,0.0005368405434623695,64.0,0.0,rectangular
256x128,ortho,half_rank,0.012443541502580046,0.0008704318492473265,0.017600020299869356,0.0008005052496725444,128.0,0.0,rectangular
256x256,ortho,half_rank,0.06962640788406134,0.004439224590808915,0.04822547614985524,0.0034360811840646595,256.0,0.0,square
256x512,ortho,half_rank,0.08255563527345658,0.0031953551105369294,0.04036051540006156,0.0021075170889685146,256.0,0.0,rectangular
256x1024,ortho,half_rank,0.12103564254939556,0.00414362578236077,0.06495383040037268,0.001894415858047452,256.0,0.0,rectangular
256x16,ortho,fixed_rank,0.0001757988444296643,3.071734564059878e-05,0.007566155899985461,0.0006888990709789648,16.0,0.0,rectangular
256x32,ortho,fixed_rank,0.00037706770963268353,3.871064493537955e-05,0.008992364200275915,0.0006367668844938397,32.0,0.0,rectangular
256x64,ortho,fixed_rank,0.0035428608767688274,0.00037646178927604445,0.011853326750861015,0.00048256034043245175,64.0,0.0,rectangular
256x128,ortho,fixed_rank,0.005208046268671751,0.0011750874412138766,0.01637449195022782,0.0007927662844505957,128.0,0.0,rectangular
256x256,ortho,fixed_rank,0.008937217434868217,0.0015787040405752227,0.04072901735034975,0.0011985592150328362,256.0,0.0,square
256x512,ortho,fixed_rank,0.01195043153129518,0.0030660353653315536,0.03189862284998526,0.004034745214384447,256.0,0.0,rectangular
256x1024,ortho,fixed_rank,0.014976743189617992,0.002144075500809838,0.047328598899912325,0.0026602879636494045,256.0,0.0,rectangular
256x16,iid_entries,full_rank,0.00017186020195367747,2.587721719407449e-05,0.006934878399806621,0.0005454104464055206,16.0,0.0,rectangular
256x32,iid_entries,full_rank,0.0003811840157140978,2.877419693571014e-05,0.008262777899653883,0.0006523187182036419,32.0,0.0,rectangular
256x64,iid_entries,full_rank,0.0010956637474009768,9.927145413825694e-05,0.010850817099890265,0.00045671155148840973,64.0,0.0,rectangular
256x128,iid_entries,full_rank,0.0037984785973094403,0.0001900971282200144,0.01651651904994651,0.0007301578400232185,128.0,0.0,rectangular
256x256,iid_entries,full_rank,0.01570272264070809,0.00038632286451459335,0.02930415560003894,0.0007966878286285725,256.0,0.0,square
256x512,iid_entries,full_rank,0.01937461718916893,0.00039656465317619636,0.03330488885058003,0.0017281777638264008,256.0,0.0,rectangular
256x1024,iid_entries,full_rank,0.030739619210362435,0.0007239947542192315,0.04346214335018885,0.0036158526768677733,256.0,0.0,rectangular
256x16,iid_entries,half_rank,0.00030974918772699314,0.00010773476356913877,0.004141752050236392,0.0006257481579636453,16.0,0.0,rectangular
256x32,iid_entries,half_rank,0.0010210202541202306,0.00019926219578477545,0.006558973649953259,0.0007552902531077719,32.0,0.0,rectangular
256x64,iid_entries,half_rank,0.0034656524425372482,0.0004532926844701675,0.0105912264503786,0.000498363495784801,64.0,0.0,rectangular
256x128,iid_entries,half_rank,0.013012218847870826,0.001144590894797766,0.01600873755014618,0.0005532299161302466,128.0,0.0,rectangular
256x256,iid_entries,half_rank,0.06830487269908189,0.005947275772271737,0.04918131290032761,0.004719598908065329,256.0,0.0,square
256x512,iid_entries,half_rank,0.08482580557465554,0.005220016417247328,0.033589964499878985,0.0016233249309658727,256.0,0.0,rectangular
256x1024,iid_entries,half_rank,0.11922645568847656,0.005842213842200274,0.045346445349605344,0.0014525316349539047,256.0,0.0,rectangular
256x16,iid_entries,fixed_rank,0.00017508447344880552,3.3742309367412096e-05,0.006644026200410736,0.0005672413295730106,16.0,0.0,rectangular
256x32,iid_entries,fixed_rank,0.00040232489409390836,3.532466876654995e-05,0.007555032149866747,0.0005775864744167055,32.0,0.0,rectangular
256x64,iid_entries,fixed_rank,0.003282359114382416,0.00037237101074745385,0.01039622979988053,0.0005567680830713389,64.0,0.0,rectangular
256x128,iid_entries,fixed_rank,0.005229411530308425,0.0006596418953176437,0.014623720650160977,0.001066839599266157,128.0,0.0,rectangular
256x256,iid_entries,fixed_rank,0.009296741429716348,0.0020777136656241505,0.038734031549938666,0.0013597797516309877,256.0,0.0,square
256x512,iid_entries,fixed_rank,0.012028442276641727,0.005652816487529099,0.024316778899810744,0.001164339194809913,256.0,0.0,rectangular
256x1024,iid_entries,fixed_rank,0.014744469802826643,0.0019375473942951258,0.031705382299514896,0.0015810146042142075,256.0,0.0,rectangular
256x16,identity_copies,full_rank,0.00017479991947766393,2.1592799191888096e-05,0.006275199250558217,0.0006652302631784442,16.0,0.0,rectangular
256x32,identity_copies,full_rank,0.0004030226991744712,3.481697653595727e-05,0.007425246449929546,0.0005630762924501312,32.0,0.0,rectangular
256x64,identity_copies,full_rank,0.00116349215968512,7.664642090897873e-05,0.01016550480035221,0.000403427826419025,64.0,0.0,rectangular
256x128,identity_copies,full_rank,0.0038380839279852806,0.00024364106434852296,0.015728173950265045,0.0004173092434169235,128.0,0.0,rectangular
256x256,identity_copies,full_rank,0.015551225561648608,0.0005139004128657582,0.028542792749976797,0.0006358848607500994,256.0,0.0,square
