Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005254176139831543
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005155488014221192
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005769760131835938
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005267744064331055
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005474656105041504
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005427584171295166
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.00555683183670044
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005107840061187744
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005616960048675537
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005567488193511963
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.0051794562339782715
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005985599994659424
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005339488029479981
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005153791904449463
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005959807872772217
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005240447998046875
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005523231983184815
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.0056143999099731445
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.0052226881980896
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005486464023590088
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005618847846984863
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005612351894378662
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005121952056884766
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005928063869476318
(64, 64, 64);(47, 47, 48);(47, 47, 48);0.005255136013031006
